latitude,longitude
-10.551609,-72.518349
-8.479737,-70.897136
-8.613780,-70.866387
-8.439857,-70.652132
-8.254983,-70.722599
-8.191813,-70.721333
-9.282822,-69.026971
-9.217677,-69.143829
-9.351851,-70.470085
-12.505109,-72.224765
-12.518201,-72.155843
-12.993717,-63.607460
-14.537934,-64.030552
-14.958177,-64.584610
-15.219409,-64.158365
-12.889541,-63.107014
-12.854356,-63.293996
-12.692844,-63.915839
-12.658386,-63.883953
-12.665902,-63.943799
-12.722066,-63.849149
-12.695315,-63.797886
-12.702934,-63.778038
-12.619149,-63.738899
-12.654324,-63.742397
-12.661233,-63.833045
-12.661233,-63.833045
-12.660595,-63.661931
-12.647049,-63.679118
-11.637946,-64.097157
